                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.45602,                0.33772,                 1.0384,                0.96537,                0.98203,                0.99064,                0.89386,                0.47686,                0.26265,                 1.0758,             5.8497e-05,             5.8497e-05,             5.8497e-05
                     36,                0.45455,                0.33363,                 1.0331,                0.95677,                0.99116,                0.98985,                0.90557,                0.46931,                0.24803,                 1.0737,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     37,                0.45047,                0.33543,                 1.0286,                  0.959,                0.98921,                0.99022,                0.90586,                0.46289,                0.24321,                 1.0721,             5.1409e-05,             5.1409e-05,             5.1409e-05
                     38,                0.44268,                0.31928,                  1.016,                0.96654,                0.98775,                0.99063,                0.89663,                0.47117,                0.24787,                 1.0758,             4.7865e-05,             4.7865e-05,             4.7865e-05
                     39,                0.44124,                0.31628,                 1.0241,                 0.9666,                0.98606,                0.99173,                0.90385,                0.47187,                 0.2499,                 1.0744,              4.432e-05,              4.432e-05,              4.432e-05
                     40,                0.44149,                0.31644,                 1.0232,                0.97087,                0.99279,                0.99176,                0.90594,                0.47385,                0.24508,                 1.0864,             4.0776e-05,             4.0776e-05,             4.0776e-05
                     41,                0.33503,                0.20276,                0.95351,                0.97315,                0.98615,                0.99135,                0.90393,                0.47156,                0.24271,                 1.0875,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     42,                0.32976,                0.20163,                0.94913,                0.97266,                0.98729,                0.99219,                0.89679,                0.47488,                 0.2391,                 1.0848,             3.3688e-05,             3.3688e-05,             3.3688e-05
                     43,                0.32563,                0.20001,                0.93857,                0.96832,                0.99132,                0.99275,                0.89865,                0.47903,                0.24616,                 1.0882,             3.0144e-05,             3.0144e-05,             3.0144e-05
                     44,                0.31406,                0.19425,                0.93733,                0.96918,                0.99018,                0.99021,                0.90116,                0.47315,                  0.228,                 1.0893,             2.6599e-05,             2.6599e-05,             2.6599e-05
                     45,                0.31155,                0.18957,                0.93074,                0.97227,                 0.9921,                0.99066,                0.89748,                0.47478,                0.22811,                 1.0922,             2.3055e-05,             2.3055e-05,             2.3055e-05
                     46,                  0.306,                0.18652,                 0.9292,                0.97517,                0.99044,                 0.9906,                0.90219,                0.46901,                0.22746,                  1.084,             1.9511e-05,             1.9511e-05,             1.9511e-05
                     47,                0.29552,                0.18181,                 0.9244,                0.97518,                0.99082,                0.99052,                 0.9019,                0.47804,                0.23405,                 1.0918,             1.5967e-05,             1.5967e-05,             1.5967e-05
                     48,                0.29244,                0.17782,                 0.9225,                0.97582,                0.98842,                 0.9906,                0.89928,                0.47436,                0.23354,                 1.0916,             1.2423e-05,             1.2423e-05,             1.2423e-05
                     49,                0.28688,                0.17459,                0.90924,                 0.9768,                0.98831,                0.99052,                0.90135,                0.47615,                0.22496,                 1.0979,             8.8784e-06,             8.8784e-06,             8.8784e-06
                     50,                0.28692,                0.17318,                0.91291,                 0.9756,                0.98966,                0.99052,                0.90279,                0.47307,                0.22737,                 1.0959,             5.3342e-06,             5.3342e-06,             5.3342e-06
